Country of Birth,Total,%,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aden,25,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,1,,,2,,,,1,2,,1,1,,,1,,1,2,,3,,,,,,,2,,,1,1,1,,,,,,1,
Afghanistan,3683,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,2,2,3,8,,2,13,1,,19,36,34,20,14,39,32,22,36,125,120,161,271,371,256,472,115,78,48,136,79,117,103,64,137,305,255,184
Albania,145,0.02%,,,,,,,,1,1,3,5,1,2,,1,1,3,,2,,1,1,,,2,,2,2,,,,,,,,,,,,2,2,1,,4,1,3,,,4,7,1,,5,15,5,1,4,8,3,7,3,3,6,10,1,4,8,2,1,3,2,1
Algeria,247,0.03%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,2,,,,1,1,,,2,,2,2,3,3,4,5,3,4,5,5,13,16,28,11,14,8,10,9,15,12,3,2,1,6,5,7,12,5,7,6,4,6
American Samoa,877,0.09%,,,,,,,,1,1,,,1,,1,,1,,,2,1,4,,1,1,1,2,4,,,2,1,5,4,5,4,4,4,7,6,6,5,8,12,6,7,10,3,20,11,8,19,17,15,21,7,23,20,22,21,27,42,41,36,58,48,44,51,48,40,58,45,15
Angola,27,0.00%,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,3,2,1,,1,2,1,2,,1,1,2,,1,,1,,2,1
Anguilla,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,5,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
Argentina,1245,0.13%,8,,,,,,,,,,,1,1,1,,,,,,2,,2,1,1,3,,2,,6,7,7,7,6,7,10,9,5,8,5,8,10,10,10,7,9,12,9,10,9,13,17,12,14,14,8,9,22,68,51,36,24,15,52,80,66,58,69,71,102,108,60,83
Argentine,6,0.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,60,0.01%,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,2,3,,3,,1,5,6,1,,,1,1,3,4,,2,2,2,3,4
Aruba,5,0.00%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,
Ascension and Tristan da Cunha Saint Helena,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Australia,11533,1.24%,2611,1,11,22,6,8,6,8,15,17,7,6,10,9,10,15,17,8,14,19,29,16,19,41,44,45,75,96,186,194,145,114,205,242,154,151,119,115,123,104,102,131,129,85,125,88,83,97,100,69,92,81,70,93,113,120,105,147,149,142,121,127,111,178,213,285,317,505,679,767,599,473
Austria,923,0.10%,13,5,6,7,8,20,20,20,19,17,15,15,18,16,13,6,22,23,8,22,18,6,9,18,16,15,18,16,17,27,27,15,11,12,3,10,7,15,9,16,13,11,9,4,4,10,17,6,6,16,19,25,15,8,5,7,8,12,16,9,4,8,14,8,14,10,13,11,17,8,12,6
Austria-Hungary,2,0.00%,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,72,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,5,2,10,4,2,1,2,2,2,5,7,1,5,4,2,3,4,2
Azores,11,0.00%,,,,,,,,,,,,2,5,,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,44,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,4,,1,,6,2,2,,1,2,,,1,,,,,3,,,,,1,,2,1,4,1,1,1,,,,,,4,,,
Bahrain,276,0.03%,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,5,1,6,3,,1,4,1,2,1,2,3,2,1,2,5,11,8,6,1,4,2,5,7,12,6,12,7,8,4,15,3,2,3,6,9,8,8,11,7,17,27,15,8
Bangladesh,2718,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,6,,5,1,1,1,3,2,5,9,4,6,6,11,17,23,16,39,35,145,480,223,75,100,138,168,107,122,110,102,44,24,42,38,62,78,63,82,83,83,74,78
Barbados,315,0.03%,,,,,,,,,,,1,,,,,,,,9,1,1,8,6,3,14,8,6,7,27,31,12,12,15,21,19,14,19,10,8,7,3,1,2,4,1,2,,2,1,1,1,,,,1,1,4,1,1,,2,1,2,3,,5,2,1,6,2,4,2
Basutoland,3,0.00%,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bechuanaland,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Bechuanaland Protectorate,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,250,0.03%,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,4,24,16,3,23,11,9,10,9,14,5,4,6,4,3,17,11,8,16,5,15,18,10
Belgian Congo,17,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,2,,,1,1,,3,,1,,,1,,1,,,,,,,,,,,1,1,,
Belgium,659,0.07%,2,2,,3,1,3,1,1,4,2,1,2,3,3,3,1,1,6,,4,3,4,4,2,8,6,3,2,6,17,7,1,6,11,11,4,3,11,5,6,5,10,6,3,11,5,4,4,10,10,7,9,4,5,6,7,5,4,11,27,16,6,32,28,32,41,25,30,43,50,32,8
Belize,14,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,3,,,,,1,1,,,2,1,,,,2,,,,,,1,,
Benin,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,
Bermuda,205,0.02%,1,,,,,,,,,,,,,,,,,,,,,,,4,,1,3,11,22,14,20,6,17,11,3,2,8,1,2,3,3,7,3,2,1,1,3,,4,,,2,2,,,1,4,2,1,2,3,3,,1,2,2,4,5,2,11,4,1
Bhutan,641,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,4,,,,,92,110,110,75,73,98,43,31
Bolivia,161,0.02%,4,,,,,2,,,,,,,,1,,,,1,,,1,,,3,,1,,,,,5,5,1,,,2,1,,,,1,3,3,1,1,1,3,1,1,1,2,1,5,1,13,4,3,8,6,7,3,7,,7,5,5,4,10,2,11,8,6
Born aboard aircraft,3,0.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born at sea,38,0.00%,18,,,1,,,,,1,,,,,,,,,,,,,,,2,1,,,,,2,,1,1,1,3,,,2,,,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,20,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,5,1,2,4
Bosnia-Herzegovina,475,0.05%,,,,,,,,,1,,1,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,80,166,49,32,27,20,14,14,10,10,7,9,3,5,8,10,,,1,,,,
Botswana,189,0.02%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,4,,,1,,,,1,7,10,8,5,6,7,2,11,19,7,6,9,6,10,7,11,10,8,13,7,6,3
